Name,ID,Event Start Date,Event End Date,Registration End date,Registration status,Event Url,Event Description,Team Size,Name of the Website,Idea Phase Start Date,Idea Phase End Date
Algo Unlock 2022,255931,2022-01-30,2022-01-30,,Open,https://dare2compete.com/hackathon/algo-unlock-2022-college-of-engineering-ceg-guindy-255931,"**Instructions:**

  *  A team of 0-4 is allowed to participate
  * The team needs to register on the dare2complete link provided
  * The competition has two rounds. The team needs to qualify for round 1 to enter the final round
  * Round 1 contains three coding questions. The duration of round 1 is 2 hours (from 9 AM to 11 AM)
  * The team, who qualify for round 1, are only eligible for the final round
  * The team has a choice to pick either one out of two questions
  * The first question is based on image processing and the second is based on Arduino programming
  * The final round duration is 1.5 hours (from 3 PM to 4:30 PM)
  * The solution of the final round should be mailed at 4:45 PM
  * The email id will be provided for the finalists

**Round details:**

  * **Round 1-**
    * 9:00 AM to 11:00 AM
    * Coding Round
  * **Round 2-**
    * 3:00 PM TO 4:30 PM
    * Arduino Coding or Image Processing 

**The winner gets prize money.**

",4,D2C,,
Ideathon,253975,2022-01-11,2022-02-18,,Open,https://dare2compete.com/hackathon/ideathon-yhills-253975,"We are pleased to announce that the Department of Computer Science and
Engineering, FET is organizing the 1st National Level Ideathon 2020 on 18th
and 19th February 2022 under the aegis of, MRIIRS Faridabad, India.

We, at Manav Rachna International Institute of Research and Studies, aim to
spread the innovation and augmentation in the field of computing, working
towards students' holistic development in our institute through teach-back
sessions, workshops, events, and online competitions along with special
guidance for personality development.

Ideathon 2022 envisages a wider reach to the student community and better
collaboration with the industry, in order to leverage the potential to find
the solutions to the most pressing problems of today. The broader areas of
Ideathon 2020 are Banking, Cyber Security, Automation, Environment
Sustainability, Fintech, Agriculture and Rural Development, Food Technology,
Healthcare & Biomedical Devices, Automobile, Robotics & Drones, and Al
Systems.

MRIIRS Ideathon 2020 is an initiative towards providing a road map for young
minds to identify critical challenges and their solutions, which we are facing
in our day-to-day life. It motivates young minds to inculcate their ideas to
provide solutions in terms of developing an innovative product or its
prototype.

**Some key points of this event are:**

  * We aim to aid the community by employing technology, developing applications or building devices that would help in bringing about a change in their lives.
  * The solutions will be designed primarily to focus on real-life problems.
  * Any student/ research scholar/ innovator/ inventor can participate and formulate solutions with the help of technologies like Artificial Intelligence, Machine Learning, Security, AR/VR, Audio, Animation, loT, Blockchain and Robotics.

**Rules:**

  * Teams must be comprised of 1-4 people.
  * Members of a team can be from the same as well as different years and colleges.
  * All design elements, code, hardware builds, etc. for your project must be created during the event, no development may start before the actual date and time of the event. Any teams that violate this rule will be automatically disqualified.
  * You are permitted to use publicly developed and openly licensed API and SDKs for your project.
  * All prizes are to be shared between all team members.
  * All team members should be present on the day of the event (online).
  * Teams should be made up exclusively of students who are not organizers, volunteers, judges, sponsors, or in any other privileged position at the event.

**Problem Statement:**

  * Smart notice board of the smart info display system
  * Digital automatic attendance system for education campus
  * Automatic gardening system in college
  * Automatic event detection in CCTV surveillance
  * Identification of crime-prone areas
  * Social media intelligence on an individual that is suspect in a crime
  * VOIP call tracking and tracing
  * Dark web investigations
  * Crypto crimes
  * Cyber-enabled trafficking
  * Violent, gambling based games which addict young ones
  * AI-based comparison of Well Hydrographs generated using high-frequency automatic water level recorders for its classification and utilization
  * Raise classroom behavior issues in real-time
  * Course and university finder
  * Virtual health assistant
  * GPS monitoring for an ambulance

**A platform for the event:** The hackathon will be virtual.

  * Microsoft Teams will be used for monitoring the participants.
  * Participants can use any code editor for the hackathon.

**Judging Criteria:**

  * Technology
  * Innovation
  * Sustainability
  * Feasibility
  * Impact
  * Completion

",4,D2C,,
DevDays'22,256540,2022-02-06,2022-02-20,,Open,https://dare2compete.com/hackathon/devdays22-devdays22-institute-of-electrical-and-electronics-engineers-gtbit-256540,"IEEE WIE GTBIT X Hack GTBIT SIG bring to you the most happening month of the
year!. This is a Hackathon and Machine Learning Bootcamp.

DevDays'22 is all about learning & implementing. In the span of 20 days,
you'll be learning Machine Learning and an introduction to Deep Learning. Most
of your queries will be cleared through the program itself. Also, the top 10%
of performers in the program will get a chance to grab internships from our
chief organizing company CellStrat AI.

This is not it! After the Bootcamp, a 48-hour hackathon will be conducted and
the theme will not only be limited to ML & AI. The sky is the limit!

Do visit our website to know more about the event - https://devdays2022.tech/

",1,D2C,,
Cyber Cypher (Hackathon),255299,2022-01-29,2022-01-30,,Open,https://dare2compete.com/hackathon/cyber-cypher-hackathon-cyber-cypher-narsee-monjee-institute-of-management-studies-nmims-mumbai-255299,"It has 2 difficulty levels to choose from (Elementary and Advanced). You can
participate individually or in a team of a maximum of 3 people. If you already
know how to code, it's a platform to showcase and polish up your skills, and
as for people who are just getting started with programming, Cyber Cypher will
give you a headstart into a world of efficient problem-solving.

**Note:**

  * It's a 24-hour hackathon, with a prize pool of Rs. 50,000, certificates for all participants and possible internship opportunities.
  * It will be conducted online (Platform - Discord), on the 29th & 30th of January (Saturday & Sunday).
  * Registration Form -[ https://bit.ly/CyberCypher_RegisterNOW](https://bit.ly/CyberCypher_RegisterNOW)

**For further queries:**  Yashvi - 9167519809

",3,D2C,,
Design Heist,256335,2022-02-16,2022-03-01,,Open,https://dare2compete.com/hackathon/design-heist-bharati-vidyapeeths-college-of-engineering-bvcoe-new-delhi-256335,"IEEE student branch of Bharati Vidyapeeth's college of engineering, New Delhi
is organizing a 14-day long flagship online UI/UX competition. The competition
is divided into two rounds- the design round and then the coding round. Only
the shortlisted teams would be required to code their design for the final
presentation.

The theme will be announced on 16th February 2022. The event will be hosted on
Discord and all the further communications will be held there only. The coding
round will be held on Dare2Compete.

The emphasis of the competition is to create an original website. We encourage
you to submit projects only prepared for the duration of the contest.

**Guidelines:**

  * Any team found to be cheating, interfering with another team, or the competition in any form will be punished with severe point deductions and/or can be immediately disqualified from the competition.
  * Plagiarism of any form will not be tolerated.
  * The size of the team can be 1 to 4 members. 
  * There is no participation fee for the event.
  * To participate in the event, all team members must be enrolled in an undergraduate program.
  * Any submission with irregularities in commit history or utilization of premade content will lead to disqualification.

",4,D2C,,
India's Largest PUPA Hackathon for Digital Media ,256245,2022-02-11,2022-02-26,,Open,https://dare2compete.com/hackathon/indias-largest-pupa-hackathon-for-digital-media-mentorsity-pvt-ltd-256245,"""You Can Master In Digital Marketing"" get a chance to work on a real-time
project with ""Glam Studios"". Win prize worth Rs. 8,000/- and assured
internship of INR 12k per month. Prepare a social media & digital marketing
strategy for India's first affordable salon brand, introducing -

  * P - Profession
  * U - Upgrade
  * P - Proficiency to
  * A - Achieve

**What is PUPA:** In this program, you will be developing social media
campaigns complementing the company's business sector, making reports on
emerging social media trends, and tracking any company's end-to-end social
media process.

**Benefits of PUPA:**

  * Internship of minimum stipend INR 7k to 12k per month
  * Pre-Placement offer after the internship completion (up to 8 LPA)
  * Certificates of Internship
  * Letter of Recommendation
  * Real-time virtual industry experience
  * Certificate of participation for all participants
  * Industry recognized co-branded live project certificate
  * One live session with the founder of the company
  * 8+ hours of live sessions with industry experts from Google, Microsoft & Oracle, etc.

**Rewards:**

  * Win cash prize of INR 2500/-
  * Subscription of (Amazon Prime, Kindle, Netflix, Times Prime, Swiggy)
  * A gift voucher from Amazon
  * Access to 2000+ discord student community
  * Get access to 100+ premium mentors from companies like Google, Microsoft, Amazon, etc.
  * Unlimited direct referrals of internship to other companies (paid internship would be provided)

**Co-sponsors:**

  * Netflix
  * Amazon Prime
  * Kindle
  * Swiggy
  * Times Prime 

**Registration Fee:** INR 699/- only (valid only for the first 100
registrations)

Be a smart worker rather than a hard worker!

",1,D2C,,
Battle of Bytes,255970,2022-02-03,2022-02-04,,Open,https://dare2compete.com/hackathon/battle-of-bytes-tech-marathon22-deen-dayal-upadhaya-college-dduc-university-of-delhi-du-new-delhi-255970,"Players have to use their coding skills to solve the various problems provided
in given languages as fast as possible to win the rounds. There will be two
rounds prelims and main, their description is given below.

**Tools of languages:** C++, Java, C, Python, JavaScript

**Rules and Regulations:**

**Round 1- Elimination Round:**

  * Round 1 is a concept-based round containing Multiple Choice and predicts the output questions from various domains of mentioned languages.
  * 30 minutes will be provided to answer 30 questions with single or multiple correct choices or predictions of output.
  * Questions are based on Java, JavaScript, C++, Python, and C.
  * Top 35%(or can be changed on the number of participants) participants with maximum score will be qualified for the final round.

**Round 2- Final Round:**

  * Round 2 is a (60 minutes + 25 minutes) debugging and coding round in languages Java, C and C++.
  * The top 3 will get the prices.

",1,D2C,,
IEI Hackathon v1.0,255805,2022-01-27,2022-01-30,,Open,https://dare2compete.com/hackathon/iei-hackathon-v10-srm-university-vadapalani-255805,"""Life is a collage of big and beautiful events"". We are back to adding a
thrilling and beautiful event to your personal collage. IE(I) Students'
Chapter, SRMIST Vadapalani introduces its first-ever hackathon series, 'IE(I)
Hackathon v 1.0' a 24-hour event, to provide a stage for brilliant young
minds.

Like they say, ""Salt is to food, what soul is to its body."" Any product's soul
is its ability to perform in the market. To impart the element of salt in this
hackathon, we added a new criterion, 'The Business model of the product'. So
our hackathon is not just about creativity, feasibility, or just technological
innovation, it's also about the cost-benefit analysis, scalability, and
monetization of the product.

**Domains:**

  * Heal the world (Medicine)
  * Take me somewhere (Transportation)
  * Farm for farmers (Agriculture)
  * Live the life (Food & Lifestyle)
  * Return back to normal (COVID-19)
  * Save the power (Non-renewable Energy Management)

**Guidelines:**

  * Number of participants (s)- 1 to 5
  * The project should be from the domains listed above
  * Any programming language can be used
  * Participants are allowed to refer to publicly available open-sourced APIs and libraries
  * Abstract PPT- 
    * To be mailed to - ieisrmvdp@gmail.com
    * Last date of submission - 27th January 2022, 5 PM IST
    * PPT should contain - Problem statement, Proposed solution, and Techstack
    * Result declaration date of selected teams - 28th January 2022 9 PM IST

**For Queries:** Keerthivasan D - +91-9176271734

Hope to see the best innovations and bright minds!

",5,D2C,,
Webgators,254246,2022-02-03,2022-02-05,,Open,https://dare2compete.com/hackathon/webgators-tech-marathon22-deen-dayal-upadhaya-college-dduc-university-of-delhi-du-new-delhi-254246,"Participants will have to use their knowledge and web development skills to
solve the problems provided in the event within the given period of time.  
The event will have 2 rounds, prelims and main.

**About the rounds:**

First-round will be an elimination round. It will consist of 30 MCQ's based
questions. All the questions will be related to web development. The time
limit will be 30 minutes. There can be more than 1 correct answer. There will
be no negative marking. The top 40% to score the most will proceed to the
second round. The second round will be the final round. The time limit will be
120 minutes. Participants will be provided a theme and they will have to make
a website based on that theme.

**Rules for participation:**

Individual or a team consisting of 2 members. The participants are allowed to
use the following web languages: HTML, CSS, PHP, Javascript, JQuery, and
NodeJS.

Software that can be used: MYSQL, Apache with PHP, Express with NodeJS.

**Platform:  **You may be allowed to use any platform for coding but at last
you have to submit your code files to the corresponding site or on Google
classroom.

",2,D2C,,
Hack-A-Web: Central India's Biggest Hackathon,255568,2022-01-27,2022-02-14,,Open,https://dare2compete.com/hackathon/hack-a-web-e-summit-2022-maulana-azad-national-institute-of-technology-manit-bhopal-255568,"Experience the fusion of technology and innovation generating high-profile
solutions at this E-Summit'22\. Your friendly neighborhood E-Cell is coming to
you live from the kickoff of the Hackathon. The participants are given 48
hours to develop a prototype and pitch it to  **judges, angel investors, and
venture capitalists**. The goal of this is to encourage our hackers to explore
the unconventional. By going away from the ordinary, participants will develop
breakthroughs that will change the world for the better.

**Eligibility:**

The teams registering for the hackathon must meet the following criteria to be
eligible for participation-

  * Every team must have at most 4-5 members
  * Participation is open for everyone

**Tracks:**

  * Web Development
  * Mobile Development
  * Artificial Intelligence
  * Software
  * Blockchain

**Evaluation Criteria:**

  * Economic, environmental, and social impact
  * Value proposition
  * Problem-solving
  * Clear walkthrough of solution with technicalities
  * Vision and Team
  * Features
  * Presentation
  * Personal experience of the mentors/ judges
  * UI & UX
  * Innovation and creativity
  * Opportunities and barriers in the market
  * Scalability

",5,D2C,,
